control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on
CTRL-3746317213,Suspicious Activity Reporting Control - Group Functions,This control monitors suspicious activity reporting - group functions activities to detect and prevent financial crime.,False,Level 1,,2nd Line Detective,Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for suspicious activity reporting control - group functions.",2021-02-11,True,2021-03-13,Active,2021-02-11,,,Last reviewed on 2025-07-07. Control operating effectively.,2025-07-07 00:00:00
CTRL-9697354961,Master Data Management Control - Investment Bank,This control ensures data integrity through master data management - investment bank.,False,Level 1,,Preventative,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for master data management control - investment bank.",2020-10-01,False,2020-10-31,Active,2020-10-01,,,Last reviewed on 2024-05-19. Control operating effectively.,2024-05-19 00:00:00
CTRL-2181241943,Gift and Entertainment Approval Control - Group Functions,This control manages gift and entertainment approval - group functions to ensure appropriate employee behavior.,True,Level 1,,Preventative,IT Dependent Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - group functions.",2022-11-17,False,,Active,2022-11-17,,,Last reviewed on 2024-05-29. Control operating effectively.,2024-05-29 00:00:00
CTRL-1958682846,Privileged Access Management Control - Investment Bank,This control validates that privileged access management - investment bank requirements are met and monitored.,True,Level 1,,Detective,Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for privileged access management control - investment bank.",2021-03-11,False,,Active,2021-03-11,,,Last reviewed on 2025-07-31. Control operating effectively.,2025-07-31 00:00:00
CTRL-4163119785,Compliance Training Completion Control - Global Wealth Management,This control ensures compliance training completion - global wealth management requirements are met with proper documentation.,True,Level 1,,Detective,IT Dependent Manual,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - global wealth management.",2023-02-14,True,,Active,2023-02-14,,,Last reviewed on 2024-01-28. Control operating effectively.,2024-01-28 00:00:00
CTRL-9963334018,Vendor Exit Planning Control - Global Wealth Management,This control ensures that vendor exit planning - global wealth management is performed according to established procedures.,True,Level 1,,2nd Line Detective,IT Dependent Manual,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor exit planning control - global wealth management.",2023-03-10,True,,Active,2023-03-10,,,Last reviewed on 2024-10-11. Control operating effectively.,2024-10-11 00:00:00
CTRL-2812140441,Enhanced Due Diligence Control - Group Functions,This control monitors enhanced due diligence - group functions activities to detect and prevent financial crime.,True,Level 1,,2nd Line Detective,IT Dependent Manual,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for enhanced due diligence control - group functions.",2022-09-22,True,2022-10-22,Active,2022-09-22,,,Last reviewed on 2025-03-07. Control operating effectively.,2025-03-07 00:00:00
CTRL-1127978094,Capacity Planning Review Control - Investment Bank,This control ensures that capacity planning review - investment bank processes are executed according to established procedures.,True,Level 1,,Preventative,Manual,Semi-Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for capacity planning review control - investment bank.",2023-12-12,False,,Active,2023-12-12,,,Last reviewed on 2025-01-25. Control operating effectively.,2025-01-25 00:00:00
CTRL-1939042955,PEP Screening Control - Investment Bank,This control monitors pep screening - investment bank activities to detect and prevent financial crime.,False,Level 1,,1st Line Detective,Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for pep screening control - investment bank.",2023-06-25,True,,Active,2023-06-25,,,Last reviewed on 2025-02-15. Control operating effectively.,2025-02-15 00:00:00
CTRL-9703905715,Incident Management Escalation Control - Group Functions,This control ensures that incident management escalation - group functions is performed according to established procedures.,False,Level 1,,1st Line Detective,Manual,Monthly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - group functions.",2020-08-20,True,2020-09-19,Active,2020-08-20,,,Last reviewed on 2024-02-02. Control operating effectively.,2024-02-02 00:00:00
CTRL-7635473142,Data Lineage Documentation Control - Global Wealth Management,This control ensures data integrity through data lineage documentation - global wealth management.,False,Level 1,,Detective,Automated,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for data lineage documentation control - global wealth management.",2023-02-07,False,2023-03-09,Inactive,2023-02-07,2025-04-06,Regulatory requirement removed,Deactivated on 2025-04-06.,2023-11-17 00:00:00
CTRL-6241752544,Compliance Training Completion Control - Group Functions,This control ensures compliance training completion - group functions requirements are met with proper documentation.,True,Level 1,,1st Line Detective,Automated,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - group functions.",2022-04-27,True,2022-05-27,Active,2022-04-27,,,Last reviewed on 2024-10-19. Control operating effectively.,2024-10-19 00:00:00
CTRL-7825844140,Employee Conduct Monitoring Control - Investment Bank,This control ensures that employee conduct monitoring - investment bank is performed according to established procedures.,True,Level 1,,1st Line Detective,Automated,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for employee conduct monitoring control - investment bank.",2023-09-15,False,2023-10-15,Active,2023-09-15,,,Last reviewed on 2023-11-12. Control operating effectively.,2023-11-12 00:00:00
CTRL-4460967357,System Availability Monitoring Control - Investment Bank,This control ensures that system availability monitoring - investment bank is performed according to established procedures.,True,Level 1,,Preventative,Automated,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - investment bank.",2022-09-14,True,2022-10-14,Active,2022-09-14,,,Last reviewed on 2024-06-26. Control operating effectively.,2024-06-26 00:00:00
CTRL-8293453178,Gift and Entertainment Approval Control - Global Wealth Management,This control ensures that gift and entertainment approval - global wealth management is performed according to established procedures.,False,Level 1,,1st Line Detective,Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - global wealth management.",2023-04-28,False,,Active,2023-04-28,,,Last reviewed on 2025-05-18. Control operating effectively.,2025-05-18 00:00:00
